Tai khoan: idolbminh, Loai the: Viettel, Menh gia: 10000, Thoi gian: 1598088863
Tai khoan: idolbminh, Loai the: Viettel, Menh gia: 10000, Thoi gian: 1598091623
Tai khoan: AiLaNhan, Loai the: Viettel, Menh gia: 20000, Thoi gian: 1612230021
Tai khoan: dbgamingvn2, Loai the: Vina, Menh gia: 20000, Thoi gian: 1612233335
Tai khoan: BananiK6406, Loai the: Mobi, Menh gia: 50000, Thoi gian: 1612274420
Tai khoan: Hreinas, Loai the: Viettel, Menh gia: 20000, Thoi gian: 1612278404
Tai khoan: Hreinas, Loai the: Viettel, Menh gia: 20000, Thoi gian: 1612278495
Tai khoan: Hreinas, Loai the: Vina, Menh gia: 20000, Thoi gian: 1612278595
Tai khoan: AiLaNhan, Loai the: Mobi, Menh gia: 50000, Thoi gian: 1612349392
Tai khoan: Hreinas, Loai the: Viettel, Menh gia: 50000, Thoi gian: 1612506498
Tai khoan: Datsiudz, Loai the: Viettel, Menh gia: 20000, Thoi gian: 1612515914
Tai khoan: Datsiudz, Loai the: Viettel, Menh gia: 10000, Thoi gian: 1612517462
Tai khoan: dbgamingvn2, Loai the: Vina, Menh gia: 10000, Thoi gian: 1612525883
